autori,titolo,edizione,luogo,editore,anno,formato
"Thaler R. H., Sunstein C. R.",Nudge - La spinta gentile,1,Milano,Feltrinelli,2014,cartaceo
Tolkien J. R. R.,Il Signore degli Anelli,26,Milano,Rusconi,1993,cartaceo
Tranquillo F.,Basketball R-Evolution,1,Milano,Baldini&Castoldi,2016,ebook
Türke C.,La società eccitata,1,Torino,Bollati Boringhieri,2012,ebook
Turoldo D. M.,Il dramma è Dio,1,Milano,BUR,1996,cartaceo
Turoldo D. M.,Il sapore del pane,1,Cinisello Balsamo,Edizioni San Paolo,2012,ebook
Vaglio Galatea M.,Didone per esempio,1,Roma,Lit Edizioni,2014,ebook
Valensise M.,La cultura è come la marmellata,1,Venezia,Marsilio,2016,ebook
Valent I.,Wittgenstein,1,Milano,Mursia,1989,cartaceo
Varian H. R.,Microeconomia,7,Venezia,Libreria Editrice Cafoscarina,2011,cartaceo
Ventura R. A.,Teoria della classe disagiata,1,Roma,Edizioni minumum fax,2017,ebook
Venturi R.,Mark Rothko. Lo spazio e la sua disciplina,1,Milano,Electa,2007,cartaceo
Vidal J.,"Sacro, Simbolo, Creatività",1,Milano,Jaca Book,1992,cartaceo
Viola F.,Gamification,1,Roma,Arduino Viola,2011,ebook
Vollard A.,Ricordi di un mercante di quadri,1,Torino,Einaudi,1959,cartaceo
Walls M.,Building a DevOps Culture,1,Sebastopol,O' Reilly Media,2013,ebook
Wick O. (a cura di),Rothko,1,Milano,Skira,2007,cartaceo
Wiener N.,Introduzione alla cibernetica - L'uso umano degli esseri umani,1,Torino,Bollati Boringhieri,2012,cartaceo
Winner D.,Brillant Orange,1,Milano,Edizioni minumum fax,2017,cartaceo
Wittgenstein L.,Tractatus logico-philosophicus e quaderni 1914-1916,6,Torino,Einaudi,1998,cartaceo
Wittgenstein L.,Osservazioni sui colori,2,Torino,Einaudi,2000,cartaceo
Yoshikawa F.,Musashi,1,Milano,BUR Rizzoli,2014,ebook
Yourcenar M.,Mishima o la visione del vuoto,1,Milano,Bompiani,2014,ebook
Zanzotto A.,Luoghi e paesaggi,4,Milano,Bompiani,2016,cartaceo
Zeri F.,Dietro l'immagine,1,Milano,TEA,1990,cartaceo
Ziccardi G. (a cura di),Il giornalista hacker,1,Venezia,Marsilio,2012,ebook
Zizek S.,Meno di niente (libro primo),1,Milano,Ponte alle Grazie,2013,cartaceo
Zizek S.,Meno di niente (libro secondo),1,Milano,Ponte alle Grazie,2014,cartaceo
Zwieback D.,DevOps Hiring,2,Sebastopol,O' Reilly Media,2014,ebook
Romei J.,Extreme Contracts,1,Victoria,Leanpub,2017,ebook
Eco U., Scritti sul pensiero medievale, 2, Milano, Bompiani, 2013, cartaceo
Manuzio A., Lettere prefatorie a edizioni greche, 1, Milano, Adelphi, 2017, cartaceo
Ghisalberti A., Guglielmo di Ockham, 1, Milano, Vita e Pensiero, 1972, cartaceo
Craveri B., La civiltà della conversazione, 1, Milano, Adelphi, 2006, cartaceo
Nanni P., Ragionare tra mercanti. Linguaggio e concezioni nelle relazioni di Francesco di Marco Datini (1335 ca.-1410), 1, Pisa, Pacini Editore, 2010, cartaceo
Zizek S., Che cos'è l'immaginario, 1, Milano, il Saggiatore, 2016, cartaceo
Gombrich E. H., La storia dell'arte, tascabile, Londra, Phaidon, 2008, cartaceo
Mazzucco M., Jacopo Tintoretto e i suoi figli, 3, Milano, Rizzoli, 2015, cartaceo
Minsky M., La società della mente, 5, Milano, Adelphi, 2012, cartaceo
Iabichino P., Invertising, 1, Milano, Guerrini e Associati, 2009, cartaceo
Devlin K., Dove va la matematica, 1, Torino, Bollati Boringhieri, 1994, cartaceo
Putnam H.,"Matematica, materia e metodo",1,Milano,Adelphi,1993,cartaceo
Zellini P., Breve storia dell'infinito, 4, Milano, Adelphi, 1993, cartaceo
Maeda J., Le leggi della semplicità, 1, Milano, Bruno Mondadori, 2006, cartaceo
Deleuze G, Che cos'è un dispositivo, 1, Napoli, Edizioni Cronopio, 2007, cartaceo
Canfora L., La biblioteca scomparsa, 16, Palermo, Sellerio, 2017, cartaceo
Antenore M. e Splendore S. (a cura di), Data Journalism, 1, Milano, Mondadori Education, 2017, cartaceo
Ancelotti C., Il leader calmo, 1, Milano, BUR Rizzoli, 2017, cartaceo
Blackmore S., La macchina dei memi, 1, Torino, instar libri, 2002, cartaceo
Tanabe G.,"L'abitatore del buio",1,Milano,Edizioni BD,2016,cartaceo
Lindsay P. H. e Norman D. A.,"L'uomo - elaboratore di informazioni",1,Firenze, Giunti Barbèra,1983,cartaceo
Zizek S., Il trash sublime,1, Milano - Udine, Mimesis Edizioni, 2013, cartaceo
Srnicek N., Capitalismo digitale,1, Milano, LUISS University Press, 2017, cartaceo
Taleb N. N., Il Cigno nero, 1, il Saggiatore, Milano, 2017, cartaceo
Taleb N. N., Antifragile, 1, il Saggiatore, Milano, 2013, cartaceo
Mitchell W. J. T., Pictorial Turn, 1, Raffaello Cortina Editore, Milano, 2017, cartaceo
Stok F., I classici dal papiro a Internet, 1, Carocci Editore, Roma, 2012, cartaceo
Gayford M., A Bigger Message - Conversazioni con David Hockney, 1, Einaudi, Torino, 2012, cartaceo
Alciato A., Il libro degli emblemi, 1, Adelphi, Milano, 2009, cartaceo
Reynolds L. D. e Wilson N. G., Copisti Filologi, 4, Editrice Antenore, Roma, 2013, cartaceo
Mattotti L., Venezia, 1, Logos Edizioni, Modena, 2011, cartaceo
Armitage D. e Guldi J., Manifesto per la storia, 1, Donzelli Editore, Roma, 2016, cartaceo
Searls D., Macchie di inchiostro, 1, il Saggiatore, Milano, 2018, cartaceo
Ullman E., Accanto alla macchina, 1, Edizioni minumum fax, Roma, 2017, cartaceo
Laozi e Andreini A. (a cura di), Daodejing, 1, Einaudi, Torino, 2018, cartaceo
Moore T., Motor Girl, 1, BAO Publishing, Milano, 2018, cartaceo
Agamben G., Homo sacer, 1, Einaudi, Torino, 1995, cartaceo
Agamben G., Stato di eccezione, 1, Bollati Boringhieri, Torino, 2003, cartaceo
Tegmark M., 'Vita 3.0', 1, Raffaello Cortina, Milano, 2017, cartaceo
Ferrighi A. (a cura di), Venezia di carta, 1, LetteraVentidue, Siracusa, 2018, cartaceo
Morin E., La natura della natura (il metodo 1), 1, Raffaello Cortina Editore, Milano, 2001, cartaceo
Morin E., La vita della vita (il metodo 2), 1, Raffaello Cortina Editore, Milano, 2004, cartaceo
Morin E., La conoscenza della conoscenza (il metodo 3), 1, Raffaello Cortina Editore, Milano, 2007, cartaceo
Morin E., Le idee: habitat, vita, organizzazione, usi e costumi (il metodo 4), 1, Raffaello Cortina Editore, Milano, 2008, cartaceo
Morin E., "L'identità umana (il metodo 5)", 1, Raffaello Cortina Editore, Milano, 2002, cartaceo
Morin E., Etica (il metodo 6), 1, Raffaello Cortina Editore, Milano, 2005, cartaceo
